Date,Time,Session,Day,open,high,low,close,Basis,Upper,Lower,Plot,EUR Index (Average),USD Index (HLC),Accumulation/Distribution,Histogram,MACD,Signal1,RVI,Candlestick,RVI-based MA,SMI,SMI-based EMA,K,D,Signal,Currency div candle
01/05/2023,1:45,Sydney-Tokyo Overlap,Monday,1.10072,1.10087,1.10043,1.1006,1.100714,1.101390769,1.100037231,1.100543648,16.61006806,67.89469044,-2670.128339,-1.24E-05,-0.00015214,-0.000139784,36.08044667,Bearish,48.23202059,-28.74728085,-22.66349667,54.79771081,54.4110287,No trade,divu
01/05/2023,2:00,Tokyo Session,Monday,1.1006,1.10065,1.1001,1.10025,1.100707,1.101399737,1.100014263,1.100505242,16.60858516,67.89869348,-3649.219248,-3.16E-05,-0.000179295,-0.000147686,30.17665348,Bearish,47.40535841,-40.29064753,-31.4770721,42.49470773,51.14209226,No trade,divd
01/05/2023,2:15,Tokyo Session,Monday,1.10025,1.10025,1.09949,1.09967,1.100661,1.101487895,1.099834105,1.100290584,16.60326125,67.90082624,-4531.324512,-7.77E-05,-0.000244795,-0.000167108,24.77335353,Bearish Marubozu,45.67996317,-56.39783242,-43.93745226,19.12091158,38.80444337,No trade,divd
01/05/2023,2:30,Tokyo Session,Monday,1.09967,1.10016,1.09947,1.10016,1.100642,1.101496157,1.099787843,1.100133605,16.60519768,67.90288152,-2802.324512,-6.97E-05,-0.000254235,-0.000184534,36.99441232,Bullish,44.3582271,-51.02992323,-47.48368774,16.90191625,26.17251185,No trade,conu
01/05/2023,2:45,Tokyo Session,Monday,1.10016,1.10056,1.09964,1.09978,1.1006115,1.101539816,1.099683184,1.099991079,16.60302931,67.8975772,-4165.10712,-8.36E-05,-0.000289047,-0.000205436,31.82358416,Bearish,42.14314502,-54.326037,-50.90486237,21.18642073,19.06974952,No trade,cond
01/05/2023,3:00,Tokyo-London Overlap,Monday,1.09978,1.10045,1.09978,1.09987,1.100593,1.10156396,1.09962204,1.099920522,16.59359558,67.88621238,-5854.510105,-8.03E-05,-0.000305848,-0.000225519,40.90172039,Bullish,41.31443893,-52.78653558,-51.84569898,31.10054585,23.06296094,No trade,cond
01/05/2023,3:15,Tokyo-London Overlap,Monday,1.09987,1.10057,1.09971,1.10021,1.1005885,1.101565665,1.099611335,1.099959618,16.59352771,67.88185098,-5473.091501,-5.03E-05,-0.000288403,-0.000238095,48.33553943,Bullish,40.35537721,-39.48477983,-45.6652394,37.1047397,29.79723543,No trade,cond
01/05/2023,3:30,Tokyo-London Overlap,Monday,1.10021,1.10046,1.09961,1.10002,1.1005605,1.101568636,1.099552364,1.100005878,16.59520799,67.88283528,-5544.985618,-3.88E-05,-0.000286605,-0.000247797,42.31319908,Bearish,39.806549,-31.68457751,-38.67490846,45.52345829,37.90958128,No trade,conu
01/05/2023,3:45,Tokyo-London Overlap,Monday,1.10002,1.10033,1.09973,1.10033,1.1005365,1.101542587,1.099530413,1.100104585,16.58956594,67.87479784,-3630.985618,-7.52E-06,-0.000257201,-0.000249678,49.57411768,Bullish,39.12283235,-16.6367125,-27.65581048,68.9426665,50.5236215,No trade,cond
01/05/2023,4:00,London Session,Monday,1.10033,1.10033,1.09974,1.09992,1.100486,1.101509258,1.099462742,1.100108598,16.5899926,67.8764582,-4472.239856,-1.14E-05,-0.00026394,-0.00025253,44.2293202,Bearish,38.68995832,-17.29612978,-22.47597013,71.53140781,61.99917753,No trade,conu
01/05/2023,4:15,London Session,Monday,1.09992,1.09992,1.09918,1.09943,1.100401,1.101477214,1.099324786,1.09994932,16.58663372,67.8785749,-5053.753369,-4.22E-05,-0.000305299,-0.000263084,39.28298601,Bearish,38.35612886,-29.86541032,-26.17069023,66.56968731,69.01458721,No trade,divd
01/05/2023,4:30,London Session,Monday,1.09943,1.09966,1.09914,1.0996,1.100334,1.101434225,1.099233775,1.099771347,16.58595256,67.87947702,-3660.676446,-4.61E-05,-0.000320663,-0.0002746,46.25764862,Bullish,38.94845512,-34.45811602,-30.31440312,50.38758923,62.82956145,No trade,divd
