time,open,high,low,close,Volume,Volume MA
2023-04-30T18:00:00-04:00,1989.72,1991.06,1989.54,1990.84,693,NaN
2023-04-30T18:15:00-04:00,1990.83,1991.86,1989.82,1990.07,1299,NaN
2023-04-30T18:30:00-04:00,1990.06,1990.27,1988.43,1989.13,1044,NaN
2023-04-30T18:45:00-04:00,1989.12,1989.17,1988.64,1989.12,859,NaN
2023-04-30T19:00:00-04:00,1989.13,1989.2,1987.69,1987.97,891,NaN
2023-04-30T19:15:00-04:00,1987.95,1988.31,1987.52,1988,736,NaN
2023-04-30T19:30:00-04:00,1988.01,1988.33,1986.62,1987.25,912,NaN
2023-04-30T19:45:00-04:00,1987.24,1987.56,1986.57,1986.82,997,NaN
2023-04-30T20:00:00-04:00,1986.83,1987.34,1986.22,1986.36,2215,NaN
2023-04-30T20:15:00-04:00,1986.37,1986.47,1985.61,1986.02,2140,NaN
2023-04-30T20:30:00-04:00,1986,1986.53,1984.48,1985.73,1788,NaN
2023-04-30T20:45:00-04:00,1985.74,1985.83,1983.62,1983.93,1783,NaN
2023-04-30T21:00:00-04:00,1983.92,1984.25,1983.49,1984.22,1798,NaN
2023-04-30T21:15:00-04:00,1984.21,1984.96,1984.04,1984.61,1505,NaN
2023-04-30T21:30:00-04:00,1984.6,1984.6,1982.36,1982.41,1696,NaN
2023-04-30T21:45:00-04:00,1982.37,1982.78,1980.98,1981.87,1868,NaN
2023-04-30T22:00:00-04:00,1981.86,1983.09,1981.57,1982.19,1622,NaN
2023-04-30T22:15:00-04:00,1982.18,1983.03,1981.58,1982.56,1459,NaN
2023-04-30T22:30:00-04:00,1982.54,1983.7,1982.43,1982.7,1256,NaN
2023-04-30T22:45:00-04:00,1982.71,1982.74,1981.52,1982.56,1335,1394.8
2023-04-30T23:00:00-04:00,1982.55,1982.55,1981.55,1981.93,1145,1417.4
2023-04-30T23:15:00-04:00,1981.92,1982.13,1981.53,1981.71,981,1401.5
2023-04-30T23:30:00-04:00,1981.69,1982.31,1980.58,1981.65,1226,1410.6
2023-04-30T23:45:00-04:00,1981.64,1983.34,1981.51,1983.29,1229,1429.1
2023-05-01T00:00:00-04:00,1983.3,1985.81,1982.46,1985.52,1461,1457.6
2023-05-01T00:15:00-04:00,1985.5,1986.35,1984.11,1985.33,2497,1545.65
2023-05-01T00:30:00-04:00,1985.32,1985.63,1984.3,1984.61,1448,1572.45
2023-05-01T00:45:00-04:00,1984.63,1984.97,1983.53,1984.08,1076,1576.4
2023-05-01T01:00:00-04:00,1984.07,1984.08,1981.92,1982.19,1202,1525.75
2023-05-01T01:15:00-04:00,1982.22,1982.33,1979.57,1980.94,2687,1553.1
2023-05-01T01:30:00-04:00,1980.93,1982.13,1980.26,1982.02,1669,1547.15
2023-05-01T01:45:00-04:00,1982.01,1982.45,1981.63,1982.02,1358,1525.9
2023-05-01T02:00:00-04:00,1982.01,1982.01,1980.31,1981.7,2097,1540.85
2023-05-01T02:15:00-04:00,1981.72,1981.72,1979.61,1980.18,1840,1557.6
2023-05-01T02:30:00-04:00,1980.21,1980.48,1979.43,1980.45,1570,1551.3
2023-05-01T02:45:00-04:00,1980.46,1980.58,1979.61,1979.82,1429,1529.35
2023-05-01T03:00:00-04:00,1979.85,1980.14,1979.11,1979.36,1531,1524.8
2023-05-01T03:15:00-04:00,1979.37,1981.21,1978.89,1980.6,2189,1561.3
2023-05-01T03:30:00-04:00,1980.59,1981.15,1979.64,1980.58,1904,1593.7
2023-05-01T03:45:00-04:00,1980.57,1981.27,1980.12,1980.86,1666,1610.25
2023-05-01T04:00:00-04:00,1980.85,1981.22,1979.61,1980.86,1830,1644.5
2023-05-01T04:15:00-04:00,1980.87,1981.08,1979.05,1979.08,1435,1667.2
2023-05-01T04:30:00-04:00,1979.06,1979.39,1978.03,1978.52,2019,1706.85
2023-05-01T04:45:00-04:00,1978.5,1978.53,1977.08,1977.26,1542,1722.5
2023-05-01T05:00:00-04:00,1977.25,1980.16,1976.99,1980.1,1605,1729.7
2023-05-01T05:15:00-04:00,1980.09,1982.47,1979.62,1981.85,2551,1732.4
2023-05-01T05:30:00-04:00,1981.86,1983.77,1981.58,1983.49,1599,1739.95
2023-05-01T05:45:00-04:00,1983.48,1985.15,1983.06,1984.57,1851,1778.7
2023-05-01T06:00:00-04:00,1984.58,1987.52,1984.46,1986.66,2232,1830.2
2023-05-01T06:15:00-04:00,1986.65,1987.77,1986.3,1986.99,1830,1787.35
2023-05-01T06:30:00-04:00,1987,1987.84,1986.13,1987.74,1539,1780.85
2023-05-01T06:45:00-04:00,1987.75,1988.69,1987.06,1988.51,1419,1783.9
2023-05-01T07:00:00-04:00,1988.52,1989.51,1986.84,1986.85,2460,1802.05
2023-05-01T07:15:00-04:00,1986.86,1989.32,1986.83,1987.9,2377,1828.9
2023-05-01T07:30:00-04:00,1987.88,1989.88,1987.5,1989.16,2026,1851.7
2023-05-01T07:45:00-04:00,1989.14,1989.29,1987.13,1988.92,2329,1896.7
2023-05-01T08:00:00-04:00,1988.93,1991.28,1988.19,1990.51,3940,2017.15
2023-05-01T08:15:00-04:00,1990.52,1997.98,1988.76,1997.22,7576,2286.5
2023-05-01T08:30:00-04:00,1997.23,2004.67,1996.57,2004.47,8284,2605.5
2023-05-01T08:45:00-04:00,2004.46,2005.23,2002.04,2003.89,6040,2824.2
2023-05-01T09:00:00-04:00,2003.9,2005.92,2003.13,2004.14,5415,3003.45
2023-05-01T09:15:00-04:00,2004.13,2004.66,2002.26,2002.32,4170,3140.2
2023-05-01T09:30:00-04:00,2002.31,2003.72,1999.01,2002.56,7882,3433.35
2023-05-01T09:45:00-04:00,2002.55,2003.06,1997.12,1997.18,6850,3698.75
2023-05-01T10:00:00-04:00,1997.19,1997.19,1986.34,1986.36,12758,4256.4
2023-05-01T10:15:00-04:00,1986.37,1989.25,1984.4,1988.4,8751,4566.4
2023-05-01T10:30:00-04:00,1988.37,1988.81,1983.79,1985.24,7117,4842.3
2023-05-01T10:45:00-04:00,1985.19,1985.92,1982.95,1984.17,6367,5068.1
2023-05-01T11:00:00-04:00,1984.18,1984.51,1981.48,1983.16,6663,5289.65
2023-05-01T11:15:00-04:00,1983.15,1984.92,1981.2,1982.57,5563,5476.3
2023-05-01T11:30:00-04:00,1982.56,1985.13,1981.43,1982.21,4313,5615
2023-05-01T11:45:00-04:00,1982.2,1983.51,1980.43,1982.87,4215,5754.8
2023-05-01T12:00:00-04:00,1982.89,1983.23,1980.51,1980.61,3432,5803.4
2023-05-01T12:15:00-04:00,1980.6,1982.04,1979.8,1981.78,2942,5831.65
2023-05-01T12:30:00-04:00,1981.8,1983.98,1981.39,1983.22,3081,5884.4
2023-05-01T12:45:00-04:00,1983.21,1983.42,1981.52,1981.58,2756,5905.75
2023-05-01T13:00:00-04:00,1981.57,1982.15,1979.83,1981.5,2923,5854.9
2023-05-01T13:15:00-04:00,1981.49,1983.89,1981.29,1983.55,3500,5651.1
2023-05-01T13:30:00-04:00,1983.56,1983.56,1980.58,1980.75,2685,5371.15
2023-05-01T13:45:00-04:00,1980.74,1982.26,1980.72,1982.08,2155,5176.9
2023-05-01T14:00:00-04:00,1982.09,1982.68,1980.48,1982.46,2158,5014.05
2023-05-01T14:15:00-04:00,1982.45,1983.01,1981.84,1982.21,1947,4902.9
2023-05-01T14:30:00-04:00,1982.19,1983.22,1981.46,1981.71,1865,4602.05
2023-05-01T14:45:00-04:00,1981.73,1982.43,1980.62,1980.63,2068,4362.95
2023-05-01T15:00:00-04:00,1980.64,1981.54,1980.55,1981.24,1940,3822.05
2023-05-01T15:15:00-04:00,1981.26,1981.56,1980.89,1981.01,1670,3468
2023-05-01T15:30:00-04:00,1981,1981.24,1979.86,1980.02,2258,3225.05
2023-05-01T15:45:00-04:00,1980.03,1980.87,1979.33,1979.7,3041,3058.75
