time,open,high,low,close,Volume,Volume MA
2023-01-03T03:15:00-05:00,23.09,23.11,22.99,23,NaN,NaN
2023-01-03T03:30:00-05:00,22.99,23.01,22.87,22.91,NaN,NaN
2023-01-03T03:45:00-05:00,22.9,22.9,22.86,22.87,NaN,NaN
2023-01-03T04:00:00-05:00,22.86,22.87,22.78,22.79,NaN,NaN
2023-01-03T04:15:00-05:00,22.78,22.8,22.74,22.79,NaN,NaN
2023-01-03T04:30:00-05:00,22.78,22.83,22.77,22.82,NaN,NaN
2023-01-03T04:45:00-05:00,22.83,22.86,22.81,22.84,NaN,NaN
2023-01-03T05:00:00-05:00,22.83,22.89,22.83,22.89,NaN,NaN
2023-01-03T05:15:00-05:00,22.88,22.95,22.88,22.92,NaN,NaN
2023-01-03T05:30:00-05:00,22.93,22.93,22.85,22.85,NaN,NaN
2023-01-03T05:45:00-05:00,22.84,22.85,22.83,22.85,NaN,NaN
2023-01-03T06:00:00-05:00,22.87,22.92,22.85,22.91,NaN,NaN
2023-01-03T06:15:00-05:00,22.92,22.92,22.89,22.91,NaN,NaN
2023-01-03T06:30:00-05:00,22.9,23.18,22.9,23.18,NaN,NaN
2023-01-03T06:45:00-05:00,23.19,23.23,23.12,23.17,NaN,NaN
2023-01-03T07:00:00-05:00,23.16,23.28,23.16,23.21,NaN,NaN
2023-01-03T07:15:00-05:00,23.22,23.22,23.16,23.19,NaN,NaN
2023-01-03T07:30:00-05:00,23.16,23.16,23.06,23.12,NaN,NaN
2023-01-03T07:45:00-05:00,23.14,23.19,23.1,23.11,NaN,NaN
2023-01-03T08:00:00-05:00,23.1,23.28,23.04,23.2,NaN,NaN
2023-01-03T08:15:00-05:00,23.21,23.21,23.1,23.16,NaN,NaN
2023-01-03T08:30:00-05:00,23.18,23.18,23.1,23.1,NaN,NaN
2023-01-03T08:45:00-05:00,23.09,23.09,23.03,23.04,NaN,NaN
2023-01-03T09:00:00-05:00,23.05,23.08,22.99,22.99,NaN,NaN
2023-01-03T09:30:00-05:00,23.15,23.22,22.73,22.8,NaN,NaN
2023-01-03T09:45:00-05:00,22.86,23.33,22.85,23.33,NaN,NaN
2023-01-03T10:00:00-05:00,23.32,23.38,23.07,23.33,NaN,NaN
2023-01-03T10:15:00-05:00,23.32,23.48,23.23,23.31,NaN,NaN
2023-01-03T10:30:00-05:00,23.25,23.4,23.15,23.17,NaN,NaN
2023-01-03T10:45:00-05:00,23.19,23.23,23,23,NaN,NaN
2023-01-03T11:00:00-05:00,22.97,23.47,22.93,23.47,NaN,NaN
2023-01-03T11:15:00-05:00,23.5,23.53,23.26,23.41,NaN,NaN
2023-01-03T11:30:00-05:00,23.34,23.54,23.34,23.49,NaN,NaN
2023-01-03T11:45:00-05:00,23.51,23.64,23.48,23.55,NaN,NaN
2023-01-03T12:00:00-05:00,23.56,23.59,23.34,23.35,NaN,NaN
2023-01-03T12:15:00-05:00,23.36,23.57,23.33,23.46,NaN,NaN
2023-01-03T12:30:00-05:00,23.47,23.49,23.27,23.48,NaN,NaN
2023-01-03T12:45:00-05:00,23.47,23.76,23.47,23.52,NaN,NaN
2023-01-03T13:00:00-05:00,23.54,23.58,23.5,23.57,NaN,NaN
2023-01-03T13:15:00-05:00,23.58,23.59,23.33,23.33,NaN,NaN
2023-01-03T13:30:00-05:00,23.34,23.35,23.24,23.29,NaN,NaN
2023-01-03T13:45:00-05:00,23.32,23.36,23.15,23.16,NaN,NaN
2023-01-03T14:00:00-05:00,23.13,23.28,23.13,23.21,NaN,NaN
2023-01-03T14:15:00-05:00,23.2,23.25,23.13,23.13,NaN,NaN
2023-01-03T14:30:00-05:00,23.14,23.36,23.09,23.12,NaN,NaN
2023-01-03T14:45:00-05:00,23.1,23.1,22.91,23.03,NaN,NaN
2023-01-03T15:00:00-05:00,23.02,23.1,22.83,22.83,NaN,NaN
2023-01-03T15:15:00-05:00,22.82,22.99,22.76,22.93,NaN,NaN
2023-01-03T15:30:00-05:00,22.92,22.95,22.86,22.88,NaN,NaN
2023-01-03T15:45:00-05:00,22.9,22.9,22.77,22.79,NaN,NaN
2023-01-03T16:00:00-05:00,22.82,22.91,22.82,22.89,NaN,NaN
2023-01-04T03:15:00-05:00,22.93,22.94,22.84,22.84,NaN,NaN
2023-01-04T03:30:00-05:00,22.83,22.85,22.82,22.84,NaN,NaN
2023-01-04T03:45:00-05:00,22.85,22.89,22.83,22.89,NaN,NaN
2023-01-04T04:00:00-05:00,22.9,22.94,22.89,22.91,NaN,NaN
2023-01-04T04:15:00-05:00,22.92,22.93,22.89,22.92,NaN,NaN
2023-01-04T04:30:00-05:00,22.93,22.95,22.89,22.91,NaN,NaN
2023-01-04T04:45:00-05:00,22.9,22.9,22.88,22.89,NaN,NaN
2023-01-04T05:00:00-05:00,22.88,22.88,22.82,22.83,NaN,NaN
2023-01-04T05:15:00-05:00,22.84,22.88,22.84,22.87,NaN,NaN
2023-01-04T05:30:00-05:00,22.86,23,22.85,22.97,NaN,NaN
2023-01-04T05:45:00-05:00,22.98,22.98,22.94,22.95,NaN,NaN
2023-01-04T06:00:00-05:00,22.94,22.94,22.86,22.86,NaN,NaN
2023-01-04T06:15:00-05:00,22.85,22.87,22.85,22.85,NaN,NaN
2023-01-04T06:30:00-05:00,22.86,22.88,22.82,22.84,NaN,NaN
2023-01-04T06:45:00-05:00,22.85,22.87,22.83,22.87,NaN,NaN
2023-01-04T07:00:00-05:00,22.88,22.93,22.87,22.89,NaN,NaN
2023-01-04T07:15:00-05:00,22.88,22.94,22.88,22.94,NaN,NaN
2023-01-04T07:30:00-05:00,22.93,22.94,22.89,22.92,NaN,NaN
2023-01-04T07:45:00-05:00,22.93,23.01,22.93,22.94,NaN,NaN
2023-01-04T08:00:00-05:00,22.95,22.95,22.85,22.89,NaN,NaN
2023-01-04T08:15:00-05:00,22.88,22.89,22.74,22.79,NaN,NaN
2023-01-04T08:30:00-05:00,22.78,22.81,22.76,22.76,NaN,NaN
2023-01-04T08:45:00-05:00,22.75,22.86,22.74,22.83,NaN,NaN
2023-01-04T09:00:00-05:00,22.82,22.97,22.82,22.96,NaN,NaN
2023-01-04T09:30:00-05:00,23.13,23.27,22.62,22.83,NaN,NaN
2023-01-04T09:45:00-05:00,22.86,22.88,22.71,22.71,NaN,NaN
2023-01-04T10:00:00-05:00,22.73,23.09,22.47,22.91,NaN,NaN
2023-01-04T10:15:00-05:00,22.87,22.9,22.7,22.7,NaN,NaN
2023-01-04T10:30:00-05:00,22.67,22.77,22.51,22.51,NaN,NaN
2023-01-04T10:45:00-05:00,22.49,22.54,22.42,22.45,NaN,NaN
2023-01-04T11:00:00-05:00,22.44,22.53,22.43,22.46,NaN,NaN
2023-01-04T11:15:00-05:00,22.44,22.51,22.4,22.41,NaN,NaN
2023-01-04T11:30:00-05:00,22.37,22.37,22.27,22.32,NaN,NaN
2023-01-04T11:45:00-05:00,22.33,22.37,22.29,22.35,NaN,NaN
2023-01-04T12:00:00-05:00,22.34,22.41,22.33,22.36,NaN,NaN
2023-01-04T12:15:00-05:00,22.37,22.37,22.31,22.35,NaN,NaN
2023-01-04T12:30:00-05:00,22.34,22.34,22.26,22.29,NaN,NaN
2023-01-04T12:45:00-05:00,22.3,22.47,22.29,22.46,NaN,NaN
2023-01-04T13:00:00-05:00,22.47,22.67,22.44,22.44,NaN,NaN
2023-01-04T13:15:00-05:00,22.42,22.42,22.35,22.42,NaN,NaN
2023-01-04T13:30:00-05:00,22.41,22.44,22.36,22.37,NaN,NaN
2023-01-04T13:45:00-05:00,22.38,22.44,22.36,22.37,NaN,NaN
2023-01-04T14:00:00-05:00,22.5,22.61,22.2,22.36,NaN,NaN
2023-01-04T14:15:00-05:00,22.35,22.71,22.06,22.71,NaN,NaN
2023-01-04T14:30:00-05:00,22.73,22.73,22.37,22.45,NaN,NaN
2023-01-04T14:45:00-05:00,22.46,22.57,22.29,22.33,NaN,NaN
2023-01-04T15:00:00-05:00,22.35,22.43,22.17,22.18,NaN,NaN
2023-01-04T15:15:00-05:00,22.17,22.37,22.13,22.33,NaN,NaN
2023-01-04T15:30:00-05:00,22.34,22.57,22.34,22.46,NaN,NaN
2023-01-04T15:45:00-05:00,22.48,22.48,22.01,22.01,NaN,NaN
2023-01-04T16:00:00-05:00,22.03,22.08,21.94,22.01,NaN,NaN
2023-01-05T03:15:00-05:00,22.2,22.25,22.19,22.24,NaN,NaN
2023-01-05T03:30:00-05:00,22.23,22.36,22.21,22.32,NaN,NaN
2023-01-05T03:45:00-05:00,22.3,22.31,22.22,22.22,NaN,NaN
2023-01-05T04:00:00-05:00,22.21,22.27,22.21,22.23,NaN,NaN
2023-01-05T04:15:00-05:00,22.22,22.22,22.13,22.16,NaN,NaN
2023-01-05T04:30:00-05:00,22.15,22.19,22.12,22.16,NaN,NaN
2023-01-05T04:45:00-05:00,22.17,22.17,22.09,22.09,NaN,NaN
2023-01-05T05:00:00-05:00,22.08,22.11,22.05,22.1,NaN,NaN
2023-01-05T05:15:00-05:00,22.09,22.09,22.04,22.08,NaN,NaN
2023-01-05T05:30:00-05:00,22.07,22.08,22.02,22.04,NaN,NaN
2023-01-05T05:45:00-05:00,22.06,22.12,22.06,22.09,NaN,NaN
2023-01-05T06:00:00-05:00,22.08,22.08,22.02,22.02,NaN,NaN
2023-01-05T06:15:00-05:00,22.03,22.06,22.01,22.04,NaN,NaN
2023-01-05T06:30:00-05:00,22.05,22.09,22.05,22.07,NaN,NaN
2023-01-05T06:45:00-05:00,22.08,22.08,22.01,22.07,NaN,NaN
2023-01-05T07:00:00-05:00,22.08,22.11,22.08,22.1,NaN,NaN
2023-01-05T07:15:00-05:00,22.11,22.11,22.03,22.04,NaN,NaN
2023-01-05T07:30:00-05:00,22.06,22.06,21.97,22.06,NaN,NaN
2023-01-05T07:45:00-05:00,22.07,22.16,22.07,22.16,NaN,NaN
2023-01-05T08:00:00-05:00,22.15,22.21,22.14,22.19,NaN,NaN
2023-01-05T08:15:00-05:00,22.28,22.37,22.25,22.32,NaN,NaN
2023-01-05T08:30:00-05:00,22.4,22.53,22.35,22.44,NaN,NaN
2023-01-05T08:45:00-05:00,22.43,22.49,22.43,22.49,NaN,NaN
2023-01-05T09:00:00-05:00,22.48,22.59,22.47,22.47,NaN,NaN
2023-01-05T09:30:00-05:00,22.51,22.9,22.51,22.77,NaN,NaN
2023-01-05T09:45:00-05:00,22.78,22.92,22.4,22.47,NaN,NaN
2023-01-05T10:00:00-05:00,22.5,22.57,22.27,22.35,NaN,NaN
2023-01-05T10:15:00-05:00,22.34,22.52,22.31,22.41,NaN,NaN
2023-01-05T10:30:00-05:00,22.42,22.6,22.39,22.39,NaN,NaN
2023-01-05T10:45:00-05:00,22.41,22.54,22.37,22.54,NaN,NaN
2023-01-05T11:00:00-05:00,22.57,22.61,22.41,22.52,NaN,NaN
2023-01-05T11:15:00-05:00,22.5,22.71,22.47,22.65,NaN,NaN
2023-01-05T11:30:00-05:00,22.63,22.64,22.51,22.52,NaN,NaN
2023-01-05T11:45:00-05:00,22.51,22.72,22.48,22.69,NaN,NaN
2023-01-05T12:00:00-05:00,22.7,22.71,22.57,22.67,NaN,NaN
2023-01-05T12:15:00-05:00,22.66,22.79,22.65,22.68,NaN,NaN
2023-01-05T12:30:00-05:00,22.69,22.72,22.6,22.7,NaN,NaN
2023-01-05T12:45:00-05:00,22.69,22.72,22.67,22.71,NaN,NaN
2023-01-05T13:00:00-05:00,22.72,22.79,22.69,22.79,NaN,NaN
2023-01-05T13:15:00-05:00,22.8,22.88,22.41,22.53,NaN,NaN
2023-01-05T13:30:00-05:00,22.55,22.55,22.39,22.5,NaN,NaN
2023-01-05T13:45:00-05:00,22.49,22.55,22.47,22.53,NaN,NaN
2023-01-05T14:00:00-05:00,22.52,22.66,22.45,22.66,NaN,NaN
2023-01-05T14:15:00-05:00,22.63,22.69,22.56,22.69,NaN,NaN
2023-01-05T14:30:00-05:00,22.68,22.68,22.48,22.54,NaN,NaN
2023-01-05T14:45:00-05:00,22.53,22.53,22.37,22.48,NaN,NaN
2023-01-05T15:00:00-05:00,22.51,22.61,22.5,22.53,NaN,NaN
2023-01-05T15:15:00-05:00,22.51,22.55,22.45,22.52,NaN,NaN
2023-01-05T15:30:00-05:00,22.54,22.62,22.51,22.59,NaN,NaN
2023-01-05T15:45:00-05:00,22.55,22.62,22.51,22.52,NaN,NaN
2023-01-05T16:00:00-05:00,22.53,22.54,22.46,22.47,NaN,NaN
2023-01-06T03:15:00-05:00,22.69,22.71,22.62,22.65,NaN,NaN
2023-01-06T03:30:00-05:00,22.66,22.69,22.64,22.68,NaN,NaN
2023-01-06T03:45:00-05:00,22.69,22.69,22.65,22.68,NaN,NaN
2023-01-06T04:00:00-05:00,22.67,22.78,22.67,22.78,NaN,NaN
2023-01-06T04:15:00-05:00,22.77,22.81,22.75,22.8,NaN,NaN
2023-01-06T04:30:00-05:00,22.81,22.84,22.78,22.78,NaN,NaN
2023-01-06T04:45:00-05:00,22.79,22.8,22.78,22.79,NaN,NaN
2023-01-06T05:00:00-05:00,22.81,22.83,22.77,22.78,NaN,NaN
2023-01-06T05:15:00-05:00,22.75,22.79,22.72,22.79,NaN,NaN
2023-01-06T05:30:00-05:00,22.78,22.8,22.76,22.77,NaN,NaN
2023-01-06T05:45:00-05:00,22.79,22.81,22.76,22.81,NaN,NaN
2023-01-06T06:00:00-05:00,22.82,22.85,22.75,22.8,NaN,NaN
2023-01-06T06:15:00-05:00,22.79,22.82,22.77,22.81,NaN,NaN
2023-01-06T06:30:00-05:00,22.8,22.89,22.8,22.87,NaN,NaN
2023-01-06T06:45:00-05:00,22.88,22.89,22.85,22.85,NaN,NaN
2023-01-06T07:00:00-05:00,22.86,22.89,22.84,22.88,NaN,NaN
2023-01-06T07:15:00-05:00,22.87,22.88,22.8,22.81,NaN,NaN
2023-01-06T07:30:00-05:00,22.8,22.84,22.8,22.84,NaN,NaN
2023-01-06T07:45:00-05:00,22.85,22.85,22.78,22.81,NaN,NaN
2023-01-06T08:00:00-05:00,22.82,22.9,22.8,22.82,NaN,NaN
2023-01-06T08:15:00-05:00,22.83,22.89,22.73,22.75,NaN,NaN
2023-01-06T08:30:00-05:00,22.25,22.25,21.91,21.94,NaN,NaN
2023-01-06T08:45:00-05:00,21.93,21.93,21.73,21.77,NaN,NaN
2023-01-06T09:00:00-05:00,21.8,22.02,21.8,21.98,NaN,NaN
2023-01-06T09:30:00-05:00,22.03,22.23,21.75,22.23,NaN,NaN
2023-01-06T09:45:00-05:00,22.18,22.24,21.85,21.85,NaN,NaN
2023-01-06T10:00:00-05:00,21.87,21.87,21.56,21.63,NaN,NaN
2023-01-06T10:15:00-05:00,21.66,21.66,21.54,21.6,NaN,NaN
2023-01-06T10:30:00-05:00,21.58,21.61,21.51,21.58,NaN,NaN
2023-01-06T10:45:00-05:00,21.56,21.61,21.52,21.59,NaN,NaN
